name,category,nicotine_type,nicotine_min,nicotine_max,size_min,size_max,flavour,flavours_all_approved,flavours_count,disposable_keyword
kiwi-vapor-icy-berry-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,11.4,22.8,30,30,"Strawberry, Menthol",TRUE,2,FALSE
kiwi-vapor-nutty-creme-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,11.4,22.8,30,30,"Hazelnuts, Almonds",FALSE,2,FALSE
smok-tfv18-replacement-coils,Vape Devices,,,,,,,,,FALSE
smok-tfv18-sub-ohm-tank,Vape Devices,,,,,,,,,FALSE
smok-ipx80-replacement-pods,Vape Devices,,,,,,,,,FALSE
solace-pineapple-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,20.52,27.36,30,30,Pineapple,TRUE,1,FALSE
haze-cucumberita-50gm,Hookahs,,,,,,,,,FALSE
afzal-sweet-pan-50g,Hookahs,,,,,,,,,FALSE
afzal-bombay-pan-masala-50g,Hookahs,,,,,,,,,FALSE
afzal-kesar-pan-50g,Hookahs,,,,,,,,,FALSE
haze-tobacco-pineapple-krush-100g,Hookahs,,,,,,,,,FALSE
haze-tobacco-icy-tango-100g,Hookahs,,,,,,,,,FALSE
haze-tobacco-suga-mint-100g,Hookahs,,,,,,,,,FALSE
haze-tobacco-pear-drops-100g,Hookahs,,,,,,,,,FALSE
afzal-banaras-pan-50g,Hookahs,,,,,,,,,FALSE
shisha-glass-pearl-hookah-1xhose-42cm,Hookahs,,,,,,,,,FALSE
shisha-glass-rainbow-hookah-1xhose-46cm,Hookahs,,,,,,,,,FALSE
smoka-astro-mouthpiece-mesh,Heat Not Burn,,,,,,,,,FALSE
smoka-astro-chamber-mesh,Heat Not Burn,,,,,,,,,FALSE
shisha-glass-hourglass-hookah-1xhose-55cm,Hookahs,,,,,,,,,FALSE
nbt-mordern-metal-grinder-63mm-4xparts,Smoking,,,,,,,,,FALSE
smok-acro-replacement-pods,Vape Devices,,,,,,,,,FALSE
smok-rpm-4-60w-pod-kit,Vape Devices,,,,,,,,,FALSE
geekvape-l200-classic-200w-kit,Vape Devices,,,,,,,,,FALSE
salty-bubble-world-cranberry-blackberry-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Cranberry, Blackberry, Berries",FALSE,3,FALSE
salty-bubble-world-gummy-strawberry-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Strawberry, Bubble Gum",FALSE,2,FALSE
salty-bubble-world-candy-berry-apple-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Berry, Red Apple, Candy",FALSE,3,FALSE
salty-bubble-world-lemon-berry-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Yellow Lemon, Berry, Mango",FALSE,3,FALSE
salty-bubble-world-vanilla-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Vanilla, Tobacco",TRUE,2,FALSE
salty-bubble-world-cranberry-blackberry-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,22.8,30,30,"Cranberry, Blackberry, Berries",FALSE,3,FALSE
salty-bubble-world-gummy-strawberry-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Strawberry, Bubble Gum",FALSE,2,FALSE
candy-berry-apple-nicotine-salt-e-liquid,E-Liquids,Nicotine Concentration,0,22.8,30,30,"Berry, Red Apple, Candy",FALSE,3,FALSE
salty-bubble-world-lemon-berry-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Yellow Lemon, Berry, Mango",FALSE,3,FALSE
salty-bubble-world-redcurrant-grape-cherry-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,11.4,28.5,30,30,"Redcurrant, Grape, Cherry, Berry",FALSE,4,FALSE
salty-bubble-world-vanilla-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Vanilla, Tobacco",TRUE,2,FALSE
smok-lp1-replacement-coils,Vape Devices,,,,,,,,,FALSE
smok-novo-4-replacement-pod,Vape Devices,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f111,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f112,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f113,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f114,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f115,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f116,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f117,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f118,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f119,Smoking,,,,,,,,,FALSE
nbt-electric-grinder-60mm-4xparts,Smoking,,,,,,,,,FALSE
vaporesso-luxe-q-replacement-pods,Vape Devices,,,,,,,,,FALSE
innokin-zenith-z-replacement-coils,Vape Devices,,,,,,,,,FALSE
salty-puff-world-cola-ice-freebase-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Cola, Ice",FALSE,2,FALSE
salty-puff-world-peach-ice-freebase-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Peach, Ice",FALSE,2,FALSE
frozen-salty-world-ice-strawberry-guava-freebase-e-liquid-30ml,E-Liquids,Nicotine Concentration,3,6,30,30,"Guava, Strawberry, Menthol",TRUE,3,FALSE
volcano-magazine-with-8-drip-dosing-capsules,Heat Not Burn,,,,,,,,,FALSE
volcano-magazine-with-8-dosing-capsules,Heat Not Burn,,,,,,,,,FALSE
volcano-hybrid-filling-chamber-with-dosing-capsule-adapter,Heat Not Burn,,,,,,,,,FALSE
volcano-filling-chamber-with-dosing-capsule-adapter,Heat Not Burn,,,,,,,,,FALSE
mighty-drip-pad-set-for-dosing-capsules,Heat Not Burn,,,,,,,,,FALSE
palm-fit-2-0-lanyard,Vape Devices,,,,,,,,,FALSE
smok-morph-pod-40-replacement-pod,Vape Devices,,,,,,,,,FALSE
uwell-yearn-neat-2-replacement-pods,Vape Devices,,,,,,,,,FALSE
uwell-aeglos-p1-80w-pod-kit,Vape Devices,,,,,,,,,FALSE
ijoy-captain-link-100w-pod-kit,Vape Devices,,,,,,,,,FALSE
geekvape-obelisk-200-200w-kit,Vape Devices,,,,,,,,,FALSE
smok-stick-g15-replacement-pods,Vape Devices,,,,,,,,,FALSE
smok-lp2-replacement-coils,Vape Devices,,,,,,,,,FALSE
smok-rpm-4-replacement-pods,Vape Devices,,,,,,,,,FALSE
efest-slim-k4,Vape Devices,,,,,,,,,FALSE
battery-vape-18650-battery-3000mah-15a-bvir-fn,Vape Devices,,,,,,,,,FALSE
vaporesso-gtx-pod-22-replacement-pods,Vape Devices,,,,,,,,,FALSE
vaporesso-gtx-pod-26-replacement-pods,Vape Devices,,,,,,,,,FALSE
davinci-iq2-flavour-chamber,Heat Not Burn,,,,,,,,,FALSE
davinci-iq2-mouthpiece,Heat Not Burn,,,,,,,,,FALSE
davinci-iq2-10mm-adapter-tool,Heat Not Burn,,,,,,,,,FALSE
shisha-glass-elegant-t-hookah-1xhose-40cm,Hookahs,,,,,,,,,FALSE
smok-gram-16-replacement-glass,Vape Devices,,,,,,,,,FALSE
smok-g16-replacement-coils,Vape Devices,,,,,,,,,FALSE
juicy-jay-s-green-apple-1-1-4-paper,Smoking,,,,,,,,,FALSE
juicy-jay-s-blueberry-1-1-4-paper,Smoking,,,,,,,,,FALSE
juicy-jay-s-raspberry-king-size-slim-paper,Smoking,,,,,,,,,FALSE
hollywood-menthol-tobacco-120ml-e-liquid,E-Liquids,Nicotine Concentration,3,12,120,120,"Menthol, Tobacco",TRUE,2,FALSE
hollywood-gold-tobacco-120ml-e-liquid-1,E-Liquids,Nicotine Concentration,3,12,120,120,Sweet Tobacco,FALSE,1,FALSE
smok-morph-s-pod-80-80w-pod-kit,Vape Devices,,,,,,,,,FALSE
shisha-glass-stylish-hookah-1xhose-30cm,Hookahs,,,,,,,,,FALSE
shisha-glass-the-vase-hookah-1xhose-33cm,Hookahs,,,,,,,,,FALSE
shisha-glass-mini-v2-hookah-1xhose-30cm,Hookahs,,,,,,,,,FALSE
shisha-glass-mini-v3-hookah-1xhose-30cm,Hookahs,,,,,,,,,FALSE
shisha-glass-gravity-hookah-1xhose,Hookahs,,,,,,,,,FALSE
shisha-silicon-ash-tray,Hookahs,,,,,,,,,FALSE
shisha-glass-cube-silicone-gummy-moulds,Magical Butter,,,,,,,,,FALSE
shisha-glass-honeycomb-silicone-gummy-moulds,Magical Butter,,,,,,,,,FALSE
shisha-glass-skull-silicone-gummy-moulds,Magical Butter,,,,,,,,,FALSE
shisha-glass-ice-pop-silicone-gummy-moulds,Magical Butter,,,,,,,,,FALSE
smok-nord-pro-25w-pod-kit,Vape Devices,,,,,,,,,FALSE
drugconfirm-multi-drug-test-kit,Smoking,,,,,,,,,FALSE
smok-g-priv-pro-replacement-pod,Vape Devices,,,,,,,,,FALSE
smok-thiner-replacement-pod,Vape Devices,,,,,,,,,FALSE
innokin-zenith-ii-replacement-glass,Vape Devices,,,,,,,,,FALSE
voopoo-vinci-2-replacement-pod,Vape Devices,,,,,,,,,FALSE
uwell-aeglos-p1-replacement-coils,Vape Devices,,,,,,,,,FALSE
geekvape-p-replacement-coils,Vape Devices,,,,,,,,,FALSE
uwell-aeglos-p1-replacement-pod,Vape Devices,,,,,,,,,FALSE
geekvape-boost-pro-plus-510-adapter,Vape Devices,,,,,,,,,FALSE
suorin-air-mod-replacement-pods,Vape Devices,,,,,,,,,FALSE
uwell-whirl-t1-replacement-pod,Vape Devices,,,,,,,,,FALSE
suorin-air-pro-replacement-pod,Vape Devices,,,,,,,,,FALSE
smok-r-kiss-2-200w-kit,Vape Devices,,,,,,,,,FALSE
smok-nord-50w-replacement-pods,Vape Devices,,,,,,,,,FALSE
freemax-onnix-replacement-coils,Vape Devices,,,,,,,,,FALSE
freemax-marvos-replacement-pod,Vape Devices,,,,,,,,,FALSE
ijoy-captain-airgo-replacement-coils,Vape Devices,,,,,,,,,FALSE
